"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value","module","supermodule","dim_1","dim_2"
"Tcea1","OK",0,116.695711380593,0.25331843368259,"Tcea1",0,"4","1",-2.60446660755872,-1.20328276413025
"Tram1","OK",0,129.204303136875,0.280478680073392,"Tram1",0,"4","1",-2.83769004582166,-1.90885799186767
"Fam135a","OK",6.83574850915036e-163,27.1726592201728,0.0588949178047053,"Fam135a",2.212126175411e-162,"4","1",-3.05754010914563,-1.02850954788269
"Actr1b","OK",0,50.8485972099811,0.110323921576319,"Actr1b",0,"4","1",-1.14920168160199,-1.23201172607483
"Cnot11","OK",1.81537112594124e-97,20.9185380679822,0.0453352925620335,"Cnot11",4.94347463351655e-97,"4","1",-2.52927129505872,-1.00551789062561
"Map4k4","OK",2.33243559163355e-27,10.7720519159047,0.0232636787102012,"Map4k4",4.70200112756227e-27,"4","1",-3.100014140594,-0.324153115921627
"Kdelc1","OK",5.09610787685067e-89,19.9692749316895,0.0432634706883967,"Kdelc1",1.35474776191851e-88,"4","1",-2.66820757626294,-2.01344506996215
"Wdr75","OK",0,39.7853752648122,0.0862983970477682,"Wdr75",0,"4","1",-2.47701828716992,-0.76470678108276
"Stk17b","OK",1.84176525946265e-05,4.1264831049393,0.00885162501956909,"Stk17b",2.87855661676318e-05,"4","1",-2.82723443745374,-1.68793838279785
"Spats2l","OK",2.13278249864767e-18,8.67147547708996,0.0187048250493503,"Spats2l",3.99518658029073e-18,"4","1",-2.95089237927197,-1.86006181495727
"Nop58","OK",0,59.8583137821261,0.129899555931519,"Nop58",0,"4","1",-2.5845259928584,-0.852904966049801
"Nbeal1","OK",0,59.8204797232051,0.129789938400895,"Nbeal1",0,"4","1",-2.66729943989514,-0.343158414536129
"Cyp20a1","OK",0,48.579862962082,0.10539436233819,"Cyp20a1",0,"4","1",-2.48701422451734,-1.95124881523193
"Eef1b2","OK",0,71.8644068355882,0.15597807830752,"Eef1b2",0,"4","1",-1.98942940472364,-2.01774280326904
"Atic","OK",0,63.2359487957326,0.137218463530246,"Atic",0,"4","1",-2.35294621227979,-1.37014453666748
"Gm28818","OK",0.0204216468165072,2.04511731486257,0.00430550015582667,"Gm28818",0.0287690442373209,"4","1",-2.69760220288037,-1.97913282173217
"Aamp","OK",0,163.4441986443,0.354821771379418,"Aamp",0,"4","1",-1.67069523571729,-1.37331049697937
"Tmbim1","OK",0,53.2639773552497,0.115572661033135,"Tmbim1",0,"4","1",-1.77264278172254,-1.56471650856079
"Cnppd1","OK",0,85.0594619979607,0.184583843716931,"Cnppd1",0,"4","1",-3.90547006367444,-1.72720306175293
"Ankzf1","OK",1.87955879406312e-19,8.94382967221043,0.0193296098264975,"Ankzf1",3.54773089448499e-19,"4","1",-1.60796659229993,-1.11485450523437
"Dnajb2","OK",0,51.6077015198188,0.111976200597539,"Dnajb2",0,"4","1",-1.20759372948407,-1.10111968772949
"Gmppa","OK",0,61.4951881291139,0.133434412546455,"Gmppa",0,"4","1",-3.31902473210095,-2.10008733528198
"Chpf","OK",0,49.0165154702255,0.10620901925191,"Chpf",0,"4","1",-3.96410815953015,-1.32000177162231
"Obsl1","OK",0.0069641641685304,2.45910652433599,0.00498571044852173,"Obsl1",0.0100104960182356,"4","1",-4.22669093846082,-1.8460280205542
"Wdfy1","OK",0,59.5393314804361,0.129193907469949,"Wdfy1",0,"4","1",-2.06990068196057,-1.73967569130004
"Rhbdd1","OK",6.42839321763296e-91,20.1865363701027,0.0437324858910848,"Rhbdd1",1.71726410867835e-90,"4","1",-2.883066585052,-1.81055372016967
"Itm2c","OK",0,176.681057002512,0.383561344575742,"Itm2c",0,"4","1",-1.56495325802564,-1.63909118431152
"Gpr55","OK",0.00194979055424453,2.88617270090022,0.00614695486347649,"Gpr55",0.00286339281796904,"4","1",-2.98441117047071,-1.08627169387878
"2810459M11Rik","OK",0,93.8689467450896,0.203739381608707,"2810459M11Rik",0,"4","1",-1.6215132975459,-1.31880324142517
"Ncl","OK",0,72.607639973897,0.157583172289728,"Ncl",0,"4","1",-2.61287467716931,-0.909191062622677
"Cops7b","OK",2.44788540795155e-10,6.22240953479848,0.0134282802121931,"Cops7b",4.16812402556302e-10,"4","1",-1.42373185395001,-1.17807834404052
"Neu2","OK",0.0217926478911883,2.01805728342543,0.00425558815917563,"Neu2",0.0306750637182325,"4","1",-3.94888799427747,-1.6226655747229
"Agap1","OK",3.91442936291021e-62,16.5930157701253,0.0358736518473359,"Agap1",9.46218664266812e-62,"4","1",-3.70642535923718,-1.42507498519958
"Asb1","OK",3.55003357753001e-11,6.51852802917926,0.0140467602459859,"Asb1",6.11685196317242e-11,"4","1",-2.32200997112988,-1.49458139198364
"Ano7","OK",8.89259361055286e-05,3.74856129777138,0.00796914836894506,"Ano7",0.000136233965101481,"4","1",-4.20854871510266,-1.78468911903442
"Hdlbp","OK",0,162.488578979135,0.352749660397567,"Hdlbp",0,"4","1",-3.14733450649976,-1.35763972061218
"Stk25","OK",0,68.660502650587,0.149001372464878,"Stk25",0,"4","1",-2.33804934262036,-1.5672718788916
"Nifk","OK",0,38.7507961215379,0.0840652618618727,"Nifk",0,"4","1",-1.21968667744397,-1.13096158760131
"Actr3","OK",0,85.151445557081,0.184821709495564,"Actr3",0,"4","1",-1.41285341023206,-1.46560542839111
"Ubxn4","OK",0,139.497026920332,0.30282603618663,"Ubxn4",0,"4","1",-3.18121760128736,-1.73460166709961
"Eif2d","OK",0,49.4187119051912,0.107221708849367,"Eif2d",0,"4","1",-1.65532629727124,-1.70959680336059
"Slc41a1","OK",3.68325266496719e-05,3.96412692326321,0.00845897072041516,"Slc41a1",5.71239682037371e-05,"4","1",-2.79649608372449,-0.613469770126949
"Cdk18","OK",0,37.8453525302078,0.0820695801777538,"Cdk18",0,"4","1",-3.13022845028638,-1.19623534935058
"Adora1","OK",4.70796998509529e-47,14.3585629218147,0.0310597976482015,"Adora1",1.06432906582495e-46,"4","1",-3.07400005100965,-1.28918831604065
"Cyb5r1","OK",0,74.5063875089171,0.161670769463208,"Cyb5r1",0,"4","1",-3.95452802418469,-1.41513078468383
"Csrp1","OK",4.53692199267846e-125,23.7580413482984,0.0514873382728587,"Csrp1",1.34284828460135e-124,"4","1",-3.35359208821057,-2.5573465134436
"BC003331","OK",0,73.8296517684005,0.16022607686974,"BC003331",0,"4","1",-3.40479676960706,-2.05589883583129
"Prg4","OK",0,76.5926708397361,0.166224410673779,"Prg4",0,"4","1",-2.45993607281446,-1.92986600654663
"Fam129a","OK",0,72.4564722767852,0.156581313812892,"Fam129a",0,"4","1",-4.13789336918592,-1.6142951752478
"Edem3","OK",3.71636076133373e-270,35.09721811298,0.0760855415647481,"Edem3",1.46881083172341e-269,"4","1",-3.46385329006909,-1.77726238029541
"Suco","OK",5.45536063748287e-303,37.187391796885,0.0806495073376589,"Suco",2.27215251557896e-302,"4","1",-3.11608593701123,-2.46239249961914
"Fmo4","OK",1.1252052269128e-240,33.1083923302798,0.0718030391387335,"Fmo4",4.24458879664816e-240,"4","1",-2.82085268734693,-2.10380428093017
"Gm16587","OK",3.01746147271127e-15,7.80321578169305,0.0158558387983313,"Gm16587",5.45242478140976e-15,"4","1",-4.12617986439466,-1.39659016388
"Blzf1","OK",2.15420121384e-35,12.3598723686052,0.0267577528166955,"Blzf1",4.57566193508045e-35,"4","1",-2.36613791226148,-1.80215137260498
"Gm32391","OK",0.00118001307569879,3.04073350424103,0.00635283254513077,"Gm32391",0.00174867895154087,"4","1",-3.3448745512843,-0.187334468536983
"Pogk","OK",0.00976326507303844,2.33532344794958,0.00497724578655441,"Pogk",0.0139411528016185,"4","1",-3.03428428410291,-0.202870299988399
"Uck2","OK",2.79078331251558e-08,5.43171291773056,0.0117084781450656,"Uck2",4.60909384540592e-08,"4","1",-2.31280153034925,-1.54714243667663
"Atf6","OK",0,90.0726714945257,0.195472421246247,"Atf6",0,"4","1",-3.73600309132337,-1.47584049957336
"Gm26620","OK",4.01270365048041e-07,4.9347485804505,0.0106269349754457,"Gm26620",6.49346900795346e-07,"4","1",-3.2819980883479,-1.53809564369262
"Fcgr4","OK",1.26008502627634e-06,4.70649108173387,0.0100935181513436,"Fcgr4",2.01779526153541e-06,"4","1",-3.64117639302014,-2.07789533393921
"Tomm40l","OK",1.17470990804545e-184,28.9561297931036,0.0627827774031975,"Tomm40l",3.99557822885247e-184,"4","1",-1.55405252217053,-1.46918289917053
"Vangl2","OK",0.000723682051158251,3.18503518343754,0.00678473611848448,"Vangl2",0.00107985004088985,"4","1",-1.2214239144206,-1.1471320893103
"Atp1a2","OK",0.00110243724107021,3.06115157015872,0.00629350196598778,"Atp1a2",0.00163514140401886,"4","1",-3.73358791111707,-1.55340593116821
"Pigm","OK",1.01139684010786e-19,9.01202870699846,0.0194728636578717,"Pigm",1.91399700888882e-19,"4","1",-2.90124671696424,-1.61064093368591
"Tfb2m","OK",8.91376424967487e-103,21.4937114528574,0.0465910405000636,"Tfb2m",2.46811726775873e-102,"4","1",-1.36442213295697,-1.42281048553527
"Parp1","OK",7.80372574590057e-133,24.4977564940581,0.0531037784577713,"Parp1",2.35433135665356e-132,"4","1",-2.67027395008801,-0.679397752457271
"Pycr2","OK",0,48.9873572317915,0.106248088596932,"Pycr2",0,"4","1",-3.70526569126843,-1.9768120552832
"Capn2","OK",0,50.9659087564581,0.110583720846453,"Capn2",0,"4","1",-1.43780057667493,-1.49196713226379
"Mia3","OK",0,128.426760605951,0.278768840669554,"Mia3",0,"4","1",-3.48318259953259,-1.77412193077148
"Irf6","OK",1.57402110722665e-124,23.7057162554416,0.0513890469027369,"Irf6",4.64984103066011e-124,"4","1",-1.40815680264234,-1.3554114605719
"A130010J15Rik","OK",3.25013935164054e-31,11.5609275985581,0.0250113819171876,"A130010J15Rik",6.71999531577222e-31,"4","1",-2.41940181492566,-1.57951753395141
"Trdmt1","OK",7.70429142705086e-09,5.65695089065603,0.0121947326386604,"Trdmt1",1.28471931153227e-08,"4","1",-1.84706061123609,-2.05385511177124
"Nsun6","OK",6.72965955898675e-11,6.42188941157229,0.0138486524251248,"Nsun6",1.15539017840172e-10,"4","1",-1.71212070225476,-1.43833749549926
"Dnajc1","OK",0,83.5994947382596,0.181443599749341,"Dnajc1",0,"4","1",-3.00310795544385,-1.39372198837341
"Otud1","OK",3.0285167734645e-19,8.89098356920882,0.0191988551162109,"Otud1",5.71009751689388e-19,"4","1",-3.78120630024671,-0.854565074616085
"Yme1l1","OK",0,56.4105741226174,0.122406075709987,"Yme1l1",0,"4","1",-2.24889748333692,-0.922248771362911
"Tor4a","OK",6.08719768965903e-75,18.278951531258,0.0395601373584816,"Tor4a",1.54734787987136e-74,"4","1",-3.07219784497022,-1.42706721084655
"Nelfb","OK",1.3609419800943e-290,36.4122754733213,0.0789756273651309,"Nelfb",5.5521070183666e-290,"4","1",-1.26223449944257,-1.11735742347778
"Tubb4b","OK",0,72.3837470940113,0.157106441550097,"Tubb4b",0,"4","1",-2.41295855282544,-2.038431337052
"Ndor1","OK",1.72428488402132e-19,8.95334915150414,0.0193262254402179,"Ndor1",3.25705341196482e-19,"4","1",-2.59226505993604,-1.45024221199096
"Npdc1","OK",0,110.820233269614,0.24052665223271,"Npdc1",0,"4","1",-2.74989979504346,-1.83966224449218
"Fbxw5","OK",0,49.0254956684663,0.106361942761199,"Fbxw5",0,"4","1",-1.96957581280469,-1.51083176391662
"Snhg7os","OK",0.00520215781904022,2.56209399355778,0.0051558662474357,"Snhg7os",0.00751509986434933,"4","1",-3.84651344059705,-0.913829496079098
"Surf6","OK",1.78635829804843e-32,11.8074406173877,0.0255503271049228,"Surf6",3.72615956996953e-32,"4","1",-2.70257132290601,-1.23381822364868
"Surf4","OK",0,145.628353877465,0.316141361774726,"Surf4",0,"4","1",-2.59891836880445,-2.07993285911621
"Cacfd1","OK",0,46.9694217704468,0.101894694548062,"Cacfd1",0,"4","1",-3.36906402348279,-1.60373490112365
"Wdr5","OK",3.8077345501958e-216,31.3578038002553,0.0679952535295231,"Wdr5",1.3728450944153e-215,"4","1",-2.0253264212489,-1.55987303512634
"Gtf3c5","OK",3.54163571899616e-27,10.7335360526289,0.0232028078076632,"Gtf3c5",7.12933317422204e-27,"4","1",-3.15720622776746,-1.61335604446472
"Slc27a4","OK",2.21182429492782e-92,20.3523696528132,0.0440959398075965,"Slc27a4",5.93863390067969e-92,"4","1",-1.71273606060742,-1.41235368507446
"Odf2","OK",0.0261575752148062,1.94053133007078,0.00413025703215708,"Odf2",0.0366540946517124,"4","1",-2.88964097737073,-0.826218059235226
"Gle1","OK",0,48.0440138382807,0.104222106126892,"Gle1",0,"4","1",-2.24767511128186,-1.3605589176947
"Zdhhc12","OK",0,81.9898038691414,0.177939604922302,"Zdhhc12",0,"4","1",-2.36124961613416,-2.15417926567138
"Kyat1","OK",0,172.082440603061,0.373577835148834,"Kyat1",0,"4","1",-3.27868883846997,-1.83129327552856
"Asb6","OK",7.69098336285708e-63,16.6904451215086,0.0361476239679924,"Asb6",1.8673575989393e-62,"4","1",-1.84087126492261,-1.21255510109008
"Tor1b","OK",0,40.3845107101851,0.0875926317082051,"Tor1b",0,"4","1",-2.28482883213758,-0.755436828308712
"Pomt1","OK",7.95466635579485e-41,13.3280059754439,0.0288495754114074,"Pomt1",1.74102774703392e-40,"4","1",-1.55528872250318,-1.45701091545166
"St6galnac4","OK",7.03232455175853e-46,14.1699270751524,0.0306735600443034,"St6galnac4",1.58023623854812e-45,"4","1",-1.78147809742688,-1.68166368263305
